t,phase,travel,speed,swingDeg,boomDeg,stickDeg,bucketDeg,payloadKg,rollDeg,tipMargin,hydC,personRight,personFwd,personWalking,personDist,seatbelt,eyesClosed,jawOpen,camYawn,camDrowsy,cfSpeed,cfSwingDeg,cfTipMargin,cfPersonDist,cfClearance
0.092,normal,0,0,0.488,28.192,20,35,1900,0,1.945,86.027,6.062,-4.244,0,7.4,1,0.089,0.07,0,0,0,0.488,1.95,7.4,12.412
0.1,normal,0,0,0.569,28.21,20,35,1900,0,1.946,85.947,6.062,-4.244,0,7.4,1,0.12,0.077,0,0,0,0.569,1.95,7.4,12.406
0.108,normal,0,0,0.656,28.227,20,35,1900,0,1.95,85.982,6.062,-4.244,0,7.4,1,0.092,0.077,0,0,0,0.656,1.95,7.4,12.401
0.117,normal,0,0,0.75,28.245,20,35,1900,0,1.95,85.952,6.062,-4.244,0,7.4,1,0.111,0.072,0,0,0,0.75,1.95,7.4,12.395
0.125,normal,0,0,0.85,28.262,20,35,1900,0,1.951,85.937,6.062,-4.244,0,7.4,1,0.098,0.08,0,0,0,0.85,1.95,7.4,12.389
0.133,normal,0,0,0.956,28.28,20,35,1900,0,1.952,86.005,6.062,-4.244,0,7.4,1,0.085,0.052,0,0,0,0.956,1.95,7.4,12.382
0.142,normal,0,0,1.069,28.297,20,35,1900,0,1.953,86.134,6.062,-4.244,0,7.4,1,0.094,0.075,0,0,0,1.069,1.95,7.4,12.375
0.15,normal,0,0,1.187,28.314,20,35,1900,0,1.946,85.953,6.062,-4.244,0,7.4,1,0.098,0.065,0,0,0,1.187,1.95,7.4,12.367
0.158,normal,0,0,1.312,28.332,20,35,1900,0,1.949,85.944,6.062,-4.244,0,7.4,1,0.093,0.076,0,0,0,1.312,1.95,7.4,12.359
0.167,normal,0,0,1.444,28.349,20,35,1900,0,1.954,86.077,6.062,-4.244,0,7.4,1,0.095,0.05,0,0,0,1.444,1.95,7.4,12.351
0.175,normal,0,0,1.581,28.367,20,35,1900,0,1.948,85.978,6.062,-4.244,0,7.4,1,0.08,0.051,0,0,0,1.581,1.95,7.4,12.342
0.183,normal,0,0,1.725,28.384,20,35,1900,0,1.946,86,6.062,-4.244,0,7.4,1,0.088,0.063,0,0,0,1.725,1.95,7.4,12.333
0.192,normal,0,0,1.875,28.401,20,35,1900,0,1.949,86.148,6.062,-4.244,0,7.4,1,0.119,0.074,0,0,0,1.875,1.95,7.4,12.323
0.2,normal,0,0,2.031,28.419,20,35,1900,0,1.946,85.953,6.062,-4.244,0,7.4,1,0.09,0.054,0,0,0,2.031,1.95,7.4,12.313
0.208,normal,0,0,2.194,28.436,20,35,1900,0,1.946,85.958,6.062,-4.244,0,7.4,1,0.101,0.075,0,0,0,2.194,1.95,7.4,12.302
0.217,normal,0,0,2.363,28.453,20,35,1900,0,1.95,85.993,6.062,-4.244,0,7.4,1,0.11,0.07,0,0,0,2.363,1.95,7.4,12.291
0.225,normal,0,0,2.538,28.471,20,35,1900,0,1.95,86.06,6.062,-4.244,0,7.4,1,0.095,0.072,0,0,0,2.538,1.95,7.4,12.28
0.233,normal,0,0,2.719,28.488,20,35,1900,0,1.948,86.131,6.062,-4.244,0,7.4,1,0.098,0.057,0,0,0,2.719,1.95,7.4,12.268
0.242,normal,0,0,2.906,28.505,20,35,1900,0,1.946,85.904,6.062,-4.244,0,7.4,1,0.081,0.059,0,0,0,2.906,1.95,7.4,12.256
0.25,normal,0,0,3.1,28.522,20,35,1900,0,1.95,85.873,6.062,-4.244,0,7.4,1,0.088,0.066,0,0,0,3.1,1.95,7.4,12.243
0.258,normal,0,0,3.3,28.54,20,35,1900,0,1.948,86.069,6.062,-4.244,0,7.4,1,0.09,0.059,0,0,0,3.3,1.95,7.4,12.23
0.267,normal,0,0,3.506,28.557,20,35,1900,0,1.952,85.962,6.062,-4.244,0,7.4,1,0.083,0.058,0,0,0,3.506,1.95,7.4,12.216
0.275,normal,0,0,3.719,28.574,20,35,1900,0,1.947,86.088,6.062,-4.244,0,7.4,1,0.084,0.063,0,0,0,3.719,1.95,7.4,12.202
0.283,normal,0,0,3.938,28.591,20,35,1900,0,1.953,86.162,6.062,-4.244,0,7.4,1,0.081,0.066,0,0,0,3.938,1.95,7.4,12.187
0.292,normal,0,0,4.163,28.608,20,35,1900,0,1.952,86.088,6.062,-4.244,0,7.4,1,0.092,0.064,0,0,0,4.163,1.95,7.4,12.172
0.3,normal,0,0,4.394,28.625,20,35,1900,0,1.947,86.028,6.062,-4.244,0,7.4,1,0.117,0.076,0,0,0,4.394,1.95,7.4,12.157
0.308,normal,0,0,4.631,28.642,20,35,1900,0,1.95,86.044,6.062,-4.244,0,7.4,1,0.102,0.06,0,0,0,4.631,1.95,7.4,12.141
0.317,normal,0,0,4.875,28.66,20,35,1900,0,1.952,86.095,6.062,-4.244,0,7.4,1,0.112,0.061,0,0,0,4.875,1.95,7.4,12.124
0.325,normal,0,0,5.125,28.677,20,35,1900,0,1.947,86.131,6.062,-4.244,0,7.4,1,0.089,0.058,0,0,0,5.125,1.95,7.4,12.107
0.333,normal,0,0,5.381,28.694,20,35,1900,0,1.955,85.944,6.062,-4.244,0,7.4,1,0.101,0.078,0,0,0,5.381,1.95,7.4,12.09
0.342,normal,0,0,5.644,28.711,20,35,1900,0,1.953,86.133,6.062,-4.244,0,7.4,1,0.08,0.053,0,0,0,5.644,1.95,7.4,12.072
0.35,normal,0,0,5.913,28.728,20,35,1900,0,1.954,86.097,6.062,-4.244,0,7.4,1,0.089,0.08,0,0,0,5.913,1.95,7.4,12.054
0.358,normal,0,0,6.188,28.745,20,35,1900,0,1.949,85.977,6.062,-4.244,0,7.4,1,0.109,0.056,0,0,0,6.188,1.95,7.4,12.035
0.367,normal,0,0,6.469,28.762,20,35,1900,0,1.952,86.059,6.062,-4.244,0,7.4,1,0.114,0.062,0,0,0,6.469,1.95,7.4,12.015
0.375,normal,0,0,6.756,28.778,20,35,1900,0,1.946,85.956,6.062,-4.244,0,7.4,1,0.118,0.072,0,0,0,6.756,1.95,7.4,11.995
0.383,normal,0,0,7.05,28.795,20,35,1900,0,1.953,86.125,6.062,-4.244,0,7.4,1,0.095,0.061,0,0,0,7.05,1.95,7.4,11.975
0.392,normal,0,0,7.35,28.812,20,35,1900,0,1.951,86.056,6.062,-4.244,0,7.4,1,0.109,0.072,0,0,0,7.35,1.95,7.4,11.954
0.4,normal,0,0,7.656,28.829,20,35,1900,0,1.951,86.12,6.062,-4.244,0,7.4,1,0.101,0.063,0,0,0,7.656,1.95,7.4,11.932
0.408,normal,0,0,7.969,28.846,20,35,1900,0,1.945,85.89,6.062,-4.244,0,7.4,1,0.095,0.062,0,0,0,7.969,1.95,7.4,11.91
0.417,normal,0,0,8.285,28.863,20,35,1900,0,1.952,86.159,6.062,-4.244,0,7.4,1,0.087,0.079,0,0,0,8.285,1.95,7.4,11.887
0.425,normal,0,0,8.602,28.879,20,35,1900,0,1.953,86.173,6.062,-4.244,0,7.4,1,0.117,0.052,0,0,0,8.602,1.95,7.4,11.865
0.433,normal,0,0,8.919,28.896,20,35,1900,0,1.954,85.898,6.062,-4.244,0,7.4,1,0.104,0.058,0,0,0,8.919,1.95,7.4,11.842
0.442,normal,0,0,9.235,28.913,20,35,1900,0,1.954,85.99,6.062,-4.244,0,7.4,1,0.101,0.068,0,0,0,9.235,1.95,7.4,11.819
0.45,normal,0,0,9.552,28.929,20,35,1900,0,1.953,85.997,6.062,-4.244,0,7.4,1,0.12,0.053,0,0,0,9.552,1.95,7.4,11.796
0.458,normal,0,0,9.869,28.946,20,35,1900,0,1.949,86.134,6.062,-4.244,0,7.4,1,0.115,0.058,0,0,0,9.869,1.95,7.4,11.773
0.467,normal,0,0,10.185,28.963,20,35,1900,0,1.951,85.994,6.062,-4.244,0,7.4,1,0.085,0.058,0,0,0,10.185,1.95,7.4,11.75
0.475,normal,0,0,10.502,28.979,20,35,1900,0,1.948,86.044,6.062,-4.244,0,7.4,1,0.082,0.068,0,0,0,10.502,1.95,7.4,11.727
0.483,normal,0,0,10.819,28.996,20,35,1900,0,1.946,85.945,6.062,-4.244,0,7.4,1,0.091,0.077,0,0,0,10.819,1.95,7.4,11.704
0.492,normal,0,0,11.135,29.012,20,35,1900,0,1.945,86.1,6.062,-4.244,0,7.4,1,0.099,0.068,0,0,0,11.135,1.95,7.4,11.68
0.5,normal,0,0,11.452,29.029,20,35,1900,0,1.95,85.914,6.062,-4.244,0,7.4,1,0.099,0.055,0,0,0,11.452,1.95,7.4,11.657
0.508,normal,0,0,11.769,29.045,20,35,1900,0,1.951,86.091,6.062,-4.244,0,7.4,1,0.106,0.068,0,0,0,11.769,1.95,7.4,11.633
0.517,normal,0,0,12.085,29.062,20,35,1900,0,1.945,86.006,6.062,-4.244,0,7.4,1,0.113,0.06,0,0,0,12.085,1.95,7.4,11.61
0.525,normal,0,0,12.402,29.078,20,35,1900,0,1.953,86,6.062,-4.244,0,7.4,1,0.095,0.061,0,0,0,12.402,1.95,7.4,11.586
0.533,normal,0,0,12.719,29.094,20,35,1900,0,1.955,85.939,6.062,-4.244,0,7.4,1,0.084,0.054,0,0,0,12.719,1.95,7.4,11.562
0.542,normal,0,0,13.035,29.11,20,35,1900,0,1.946,86.064,6.062,-4.244,0,7.4,1,0.092,0.057,0,0,0,13.035,1.95,7.4,11.538
0.55,normal,0,0,13.352,29.127,20,35,1900,0,1.95,86.102,6.062,-4.244,0,7.4,1,0.118,0.053,0,0,0,13.352,1.95,7.4,11.514
0.558,normal,0,0,13.669,29.143,20,35,1900,0,1.955,85.907,6.062,-4.244,0,7.4,1,0.089,0.066,0,0,0,13.669,1.95,7.4,11.49
0.567,normal,0,0,13.985,29.159,20,35,1900,0,1.947,86.111,6.062,-4.244,0,7.4,1,0.091,0.062,0,0,0,13.985,1.95,7.4,11.465
0.575,normal,0,0,14.302,29.175,20,35,1900,0,1.945,85.943,6.062,-4.244,0,7.4,1,0.088,0.077,0,0,0,14.302,1.95,7.4,11.441
0.583,normal,0,0,14.619,29.191,20,35,1900,0,1.951,86.065,6.062,-4.244,0,7.4,1,0.108,0.075,0,0,0,14.619,1.95,7.4,11.417
0.592,normal,0,0,14.935,29.207,20,35,1900,0,1.95,85.911,6.062,-4.244,0,7.4,1,0.082,0.078,0,0,0,14.935,1.95,7.4,11.392
0.6,normal,0,0,15.252,29.223,20,35,1900,0,1.954,85.899,6.062,-4.244,0,7.4,1,0.106,0.056,0,0,0,15.252,1.95,7.4,11.367
0.608,normal,0,0,15.569,29.239,20,35,1900,0,1.946,86.008,6.062,-4.244,0,7.4,1,0.106,0.069,0,0,0,15.569,1.95,7.4,11.343
0.617,normal,0,0,15.885,29.255,20,35,1900,0,1.947,86.08,6.062,-4.244,0,7.4,1,0.098,0.063,0,0,0,15.885,1.95,7.4,11.318
0.625,normal,0,0,16.202,29.271,20,35,1900,0,1.953,86.14,6.062,-4.244,0,7.4,1,0.117,0.065,0,0,0,16.202,1.95,7.4,11.293
0.633,normal,0,0,16.519,29.287,20,35,1900,0,1.945,86.163,6.062,-4.244,0,7.4,1,0.08,0.07,0,0,0,16.519,1.95,7.4,11.268
0.642,normal,0,0,16.835,29.303,20,35,1900,0,1.95,86.075,6.062,-4.244,0,7.4,1,0.096,0.063,0,0,0,16.835,1.95,7.4,11.243
0.65,normal,0,0,17.152,29.318,20,35,1900,0,1.949,86.067,6.062,-4.244,0,7.4,1,0.112,0.067,0,0,0,17.152,1.95,7.4,11.217
0.658,normal,0,0,17.469,29.334,20,35,1900,0,1.952,86.174,6.062,-4.244,0,7.4,1,0.09,0.06,0,0,0,17.469,1.95,7.4,11.192
0.667,normal,0,0,17.785,29.35,20,35,1900,0,1.947,86.12,6.062,-4.244,0,7.4,1,0.928,0.078,0,0,0,17.785,1.95,7.4,11.166
0.675,normal,0,0,18.102,29.365,20,35,1900,0,1.951,86.184,6.062,-4.244,0,7.4,1,0.907,0.059,0,0,0,18.102,1.95,7.4,11.141
0.683,normal,0,0,18.419,29.381,20,35,1900,0,1.951,86.191,6.062,-4.244,0,7.4,1,0.905,0.06,0,0,0,18.419,1.95,7.4,11.115
0.692,normal,0,0,18.735,29.396,20,35,1900,0,1.953,85.953,6.062,-4.244,0,7.4,1,0.932,0.079,0,0,0,18.735,1.95,7.4,11.09
0.7,normal,0,0,19.052,29.412,20,35,1900,0,1.954,86.036,6.062,-4.244,0,7.4,1,0.938,0.071,0,0,0,19.052,1.95,7.4,11.064
0.708,normal,0,0,19.369,29.427,20,35,1900,0,1.953,85.984,6.062,-4.244,0,7.4,1,0.935,0.072,0,0,0,19.369,1.95,7.4,11.038
0.717,normal,0,0,19.685,29.443,20,35,1900,0,1.954,86.122,6.062,-4.244,0,7.4,1,0.914,0.055,0,0,0,19.685,1.95,7.4,11.012
0.725,normal,0,0,20.002,29.458,20,35,1900,0,1.951,85.984,6.062,-4.244,0,7.4,1,0.925,0.061,0,0,0,20.002,1.95,7.4,10.986
0.733,normal,0,0,20.319,29.473,20,35,1900,0,1.951,86.112,6.062,-4.244,0,7.4,1,0.934,0.078,0,0,0,20.319,1.95,7.4,10.96
0.742,normal,0,0,20.635,29.488,20,35,1900,0,1.952,86.086,6.062,-4.244,0,7.4,1,0.934,0.054,0,0,0,20.635,1.95,7.4,10.933
0.75,normal,0,0,20.952,29.504,20,35,1900,0,1.949,86.147,6.062,-4.244,0,7.4,1,0.939,0.061,0,0,0,20.952,1.95,7.4,10.907
0.758,normal,0,0,21.269,29.519,20,35,1900,0,1.947,86.038,6.062,-4.244,0,7.4,1,0.927,0.078,0,0,0,21.269,1.95,7.4,10.88
0.767,normal,0,0,21.585,29.534,20,35,1900,0,1.953,86.107,6.062,-4.244,0,7.4,1,0.919,0.055,0,0,0,21.585,1.95,7.4,10.854
0.775,normal,0,0,21.902,29.549,20,35,1900,0,1.95,86.086,6.062,-4.244,0,7.4,1,0.904,0.067,0,0,0,21.902,1.95,7.4,10.827
0.783,normal,0,0,22.219,29.564,20,35,1900,0,1.948,85.985,6.062,-4.244,0,7.4,1,0.936,0.052,0,0,0,22.219,1.95,7.4,10.8
0.792,normal,0,0,22.535,29.579,20,35,1900,0,1.954,85.999,6.062,-4.244,0,7.4,1,0.924,0.068,0,0,0,22.535,1.95,7.4,10.773
0.8,normal,0,0,22.852,29.594,20,35,1900,0,1.952,86.023,6.062,-4.244,0,7.4,1,0.909,0.074,0,0,0,22.852,1.95,7.4,10.747
0.808,normal,0,0,23.169,29.608,20,35,1900,0,1.954,86.002,6.062,-4.244,0,7.4,1,0.909,0.051,0,0,0,23.169,1.95,7.4,10.72
0.817,normal,0,0,23.485,29.623,20,35,1900,0,1.953,85.942,6.062,-4.244,0,7.4,1,0.939,0.064,0,0,0,23.485,1.95,7.4,10.692
0.825,normal,0,0,23.802,29.638,20,35,1900,0,1.948,86.18,6.062,-4.244,0,7.4,1,0.924,0.074,0,0,0,23.802,1.95,7.4,10.665
0.833,normal,0,0,24.119,29.652,20,35,1900,0,1.954,86.102,6.062,-4.244,0,7.4,1,0.119,0.056,0,0,0,24.119,1.95,7.4,10.638
0.842,normal,0,0,24.435,29.667,20,35,1900,0,1.95,85.927,6.062,-4.244,0,7.4,1,0.092,0.068,0,0,0,24.435,1.95,7.4,10.61
0.85,normal,0,0,24.752,29.682,20,35,1900,0,1.952,85.997,6.062,-4.244,0,7.4,1,0.085,0.065,0,0,0,24.752,1.95,7.4,10.583
0.858,normal,0,0,25.069,29.696,20,35,1900,0,1.953,85.967,6.062,-4.244,0,7.4,1,0.097,0.08,0,0,0,25.069,1.95,7.4,10.555
0.867,normal,0,0,25.385,29.71,20,35,1900,0,1.955,86.191,6.062,-4.244,0,7.4,1,0.082,0.072,0,0,0,25.385,1.95,7.4,10.528
0.875,normal,0,0,25.702,29.725,20,35,1900,0,1.953,86.006,6.062,-4.244,0,7.4,1,0.109,0.07,0,0,0,25.702,1.95,7.4,10.5
0.883,normal,0,0,26.019,29.739,20,35,1900,0,1.946,85.936,6.062,-4.244,0,7.4,1,0.106,0.07,0,0,0,26.019,1.95,7.4,10.472
0.892,normal,0,0,26.335,29.753,20,35,1900,0,1.945,85.944,6.062,-4.244,0,7.4,1,0.086,0.053,0,0,0,26.335,1.95,7.4,10.444
0.9,normal,0,0,26.652,29.767,20,35,1900,0,1.954,85.936,6.062,-4.244,0,7.4,1,0.117,0.066,0,0,0,26.652,1.95,7.4,10.416
0.908,normal,0,0,26.969,29.782,20,35,1900,0,1.952,86.123,6.062,-4.244,0,7.4,1,0.091,0.076,0,0,0,26.969,1.95,7.4,10.388
0.917,normal,0,0,27.285,29.796,20,35,1900,0,1.954,86.095,6.062,-4.244,0,7.4,1,0.104,0.072,0,0,0,27.285,1.95,7.4,10.36
0.925,normal,0,0,27.602,29.81,20,35,1900,0,1.951,86.062,6.062,-4.244,0,7.4,1,0.102,0.065,0,0,0,27.602,1.95,7.4,10.331
0.933,normal,0,0,27.919,29.824,20,35,1900,0,1.951,86.148,6.062,-4.244,0,7.4,1,0.101,0.076,0,0,0,27.919,1.95,7.4,10.303
0.942,normal,0,0,28.235,29.837,20,35,1900,0,1.952,86.073,6.062,-4.244,0,7.4,1,0.096,0.063,0,0,0,28.235,1.95,7.4,10.275
0.95,normal,0,0,28.552,29.851,20,35,1900,0,1.955,86.155,6.062,-4.244,0,7.4,1,0.107,0.051,0,0,0,28.552,1.95,7.4,10.246
0.958,normal,0,0,28.869,29.865,20,35,1900,0,1.953,86.144,6.062,-4.244,0,7.4,1,0.096,0.052,0,0,0,28.869,1.95,7.4,10.217
0.967,normal,0,0,29.185,29.879,20,35,1900,0,1.953,86.213,6.062,-4.244,0,7.4,1,0.107,0.062,0,0,0,29.185,1.95,7.4,10.189
0.975,normal,0,0,29.502,29.892,20,35,1900,0,1.949,86.219,6.062,-4.244,0,7.4,1,0.094,0.06,0,0,0,29.502,1.95,7.4,10.16
0.983,normal,0,0,29.819,29.906,20,35,1900,0,1.949,86.192,6.062,-4.244,0,7.4,1,0.085,0.055,0,0,0,29.819,1.95,7.4,10.131
0.992,normal,0,0,30.135,29.919,20,35,1900,0,1.952,86.181,6.062,-4.244,0,7.4,1,0.088,0.059,0,0,0,30.135,1.95,7.4,10.102
1,normal,0,0,30.452,29.933,20,35,1900,0,1.954,86.089,6.062,-4.244,0,7.4,1,0.092,0.074,0,0,0,30.452,1.95,7.4,10.073
1.008,normal,0,0,30.769,29.946,20,35,1900,0,1.95,86.152,6.062,-4.244,0,7.4,1,0.1,0.078,0,0,0,30.769,1.95,7.4,10.044
1.017,normal,0,0,31.085,29.959,20,35,1900,0,1.945,86.085,6.062,-4.244,0,7.4,1,0.111,0.067,0,0,0,31.085,1.95,7.4,10.014
1.025,normal,0,0,31.402,29.973,20,35,1900,0,1.951,86.098,6.062,-4.244,0,7.4,1,0.11,0.077,0,0,0,31.402,1.95,7.4,9.985
1.033,normal,0,0,31.719,29.986,20,35,1900,0,1.95,85.941,6.062,-4.244,0,7.4,1,0.1,0.062,0,0,0,31.719,1.95,7.4,9.955
1.042,normal,0,0,32.035,29.999,20,35,1900,0,1.953,86.018,6.062,-4.244,0,7.4,1,0.091,0.079,0,0,0,32.035,1.95,7.4,9.926
1.05,normal,0,0,32.352,30.012,20,35,1900,0,1.954,86.177,6.062,-4.244,0,7.4,1,0.097,0.064,0,0,0,32.352,1.95,7.4,9.896
1.058,normal,0,0,32.669,30.025,20,35,1900,0,1.947,86.15,6.062,-4.244,0,7.4,1,0.1,0.058,0,0,0,32.669,1.95,7.4,9.867
1.067,normal,0,0,32.985,30.038,20,35,1900,0,1.951,86.072,6.062,-4.244,0,7.4,1,0.101,0.067,0,0,0,32.985,1.95,7.4,9.837
1.075,normal,0,0,33.302,30.05,20,35,1900,0,1.953,86.167,6.062,-4.244,0,7.4,1,0.119,0.057,0,0,0,33.302,1.95,7.4,9.807
1.083,normal,0,0,33.619,30.063,20,35,1900,0,1.953,86.199,6.062,-4.244,0,7.4,1,0.098,0.066,0,0,0,33.619,1.95,7.4,9.777
1.092,normal,0,0,33.935,30.076,20,35,1900,0,1.948,86.211,6.062,-4.244,0,7.4,1,0.104,0.052,0,0,0,33.935,1.95,7.4,9.747
1.1,normal,0,0,34.252,30.088,20,35,1900,0,1.955,86.136,6.062,-4.244,0,7.4,1,0.097,0.058,0,0,0,34.252,1.95,7.4,9.717
1.108,normal,0,0,34.569,30.101,20,35,1900,0,1.946,86.061,6.062,-4.244,0,7.4,1,0.099,0.065,0,0,0,34.569,1.95,7.4,9.687
1.117,normal,0,0,34.885,30.113,20,35,1900,0,1.952,85.961,6.062,-4.244,0,7.4,1,0.113,0.058,0,0,0,34.885,1.95,7.4,9.656
1.125,normal,0,0,35.202,30.126,20,35,1900,0,1.954,86.08,6.062,-4.244,0,7.4,1,0.08,0.06,0,0,0,35.202,1.95,7.4,9.626
1.133,normal,0,0,35.519,30.138,20,35,1900,0,1.951,86.234,6.062,-4.244,0,7.4,1,0.081,0.062,0,0,0,35.519,1.95,7.4,9.596
1.142,normal,0,0,35.835,30.15,20,35,1900,0,1.945,86.175,6.062,-4.244,0,7.4,1,0.109,0.076,0,0,0,35.835,1.95,7.4,9.565
1.15,normal,0,0,36.152,30.162,20,35,1900,0,1.951,86.219,6.062,-4.244,0,7.4,1,0.092,0.057,0,0,0,36.152,1.95,7.4,9.534
1.158,normal,0,0,36.469,30.175,20,35,1900,0,1.945,85.977,6.062,-4.244,0,7.4,1,0.108,0.066,0,0,0,36.469,1.95,7.4,9.504
1.167,normal,0,0,36.785,30.187,20,35,1900,0,1.947,86.19,6.062,-4.244,0,7.4,1,0.084,0.054,0,0,0,36.785,1.95,7.4,9.473
1.175,normal,0,0,37.102,30.199,20,35,1900,0,1.949,86.138,6.062,-4.244,0,7.4,1,0.106,0.071,0,0,0,37.102,1.95,7.4,9.442
1.183,normal,0,0,37.419,30.21,20,35,1900,0,1.95,86.133,6.062,-4.244,0,7.4,1,0.112,0.071,0,0,0,37.419,1.95,7.4,9.411
1.192,normal,0,0,37.735,30.222,20,35,1900,0,1.955,85.954,6.062,-4.244,0,7.4,1,0.105,0.074,0,0,0,37.735,1.95,7.4,9.38
1.2,normal,0,0,38.052,30.234,20,35,1900,0,1.951,86.122,6.062,-4.244,0,7.4,1,0.116,0.064,0,0,0,38.052,1.95,7.4,9.349
1.208,normal,0,0,38.369,30.246,20,35,1900,0,1.949,86.012,6.062,-4.244,0,7.4,1,0.094,0.074,0,0,0,38.369,1.95,7.4,9.318
1.217,normal,0,0,38.685,30.257,20,35,1900,0,1.95,86.17,6.062,-4.244,0,7.4,1,0.084,0.05,0,0,0,38.685,1.95,7.4,9.286
1.225,normal,0,0,39.002,30.269,20,35,1900,0,1.953,86.116,6.062,-4.244,0,7.4,1,0.09,0.062,0,0,0,39.002,1.95,7.4,9.255
1.233,normal,0,0,39.319,30.28,20,35,1900,0,1.952,86.191,6.062,-4.244,0,7.4,1,0.094,0.072,0,0,0,39.319,1.95,7.4,9.224
1.242,normal,0,0,39.635,30.291,20,35,1900,0,1.952,86.243,6.062,-4.244,0,7.4,1,0.116,0.075,0,0,0,39.635,1.95,7.4,9.192
1.25,normal,0,0,39.952,30.303,20,35,1900,0,1.951,86.192,6.062,-4.244,0,7.4,1,0.104,0.051,0,0,0,39.952,1.95,7.4,9.16
1.258,normal,0,0,40.269,30.314,20,35,1900,0,1.948,86.167,6.062,-4.244,0,7.4,1,0.094,0.061,0,0,0,40.269,1.95,7.4,9.129
1.267,normal,0,0,40.585,30.325,20,35,1900,0,1.955,86.202,6.062,-4.244,0,7.4,1,0.104,0.072,0,0,0,40.585,1.95,7.4,9.097
1.275,normal,0,0,40.902,30.336,20,35,1900,0,1.946,86.101,6.062,-4.244,0,7.4,1,0.1,0.073,0,0,0,40.902,1.95,7.4,9.065
1.283,normal,0,0,41.219,30.347,20,35,1900,0,1.949,86.024,6.062,-4.244,0,7.4,1,0.081,0.066,0,0,0,41.219,1.95,7.4,9.033
1.292,normal,0,0,41.535,30.358,20,35,1900,0,1.949,86.003,6.062,-4.244,0,7.4,1,0.094,0.07,0,0,0,41.535,1.95,7.4,9.001
1.3,normal,0,0,41.852,30.369,20,35,1900,0,1.947,86.111,6.062,-4.244,0,7.4,1,0.09,0.057,0,0,0,41.852,1.95,7.4,8.969
1.308,normal,0,0,42.169,30.379,20,35,1900,0,1.948,86.133,6.062,-4.244,0,7.4,1,0.089,0.076,0,0,0,42.169,1.95,7.4,8.937
1.317,normal,0,0,42.485,30.39,20,35,1900,0,1.954,86.143,6.062,-4.244,0,7.4,1,0.098,0.066,0,0,0,42.485,1.95,7.4,8.905
1.325,normal,0,0,42.802,30.4,20,35,1900,0,1.953,85.996,6.062,-4.244,0,7.4,1,0.096,0.069,0,0,0,42.802,1.95,7.4,8.873
1.333,normal,0,0,43.119,30.411,20,35,1900,0,1.946,86.137,6.062,-4.244,0,7.4,1,0.094,0.08,0,0,0,43.119,1.95,7.4,8.84
1.342,normal,0,0,43.435,30.421,20,35,1900,0,1.946,85.965,6.062,-4.244,0,7.4,1,0.091,0.071,0,0,0,43.435,1.95,7.4,8.808
1.35,normal,0,0,43.752,30.431,20,35,1900,0,1.948,85.967,6.062,-4.244,0,7.4,1,0.084,0.073,0,0,0,43.752,1.95,7.4,8.775
1.358,normal,0,0,44.069,30.442,20,35,1900,0,1.952,86.024,6.062,-4.244,0,7.4,1,0.113,0.063,0,0,0,44.069,1.95,7.4,8.743
1.367,normal,0,0,44.385,30.452,20,35,1900,0,1.949,86.014,6.062,-4.244,0,7.4,1,0.092,0.055,0,0,0,44.385,1.95,7.4,8.71
